"ew_start","sum_of_cases"
2012-12-30,339
2013-01-06,520
2013-01-13,582
2013-01-20,607
2013-01-27,597
2013-02-03,501
2013-02-10,469
2013-02-17,486
2013-02-24,434
2013-03-03,362
2013-03-10,338
2013-03-17,354
2013-03-24,309
2013-03-31,264
2013-04-07,195
2013-04-14,195
2013-04-21,152
2013-04-28,120
2013-05-05,111
2013-05-12,103
2013-05-19,74
2013-05-26,80
2013-06-02,87
2013-06-09,87
2013-06-16,97
2013-06-23,54
2013-06-30,66
2013-07-07,67
2013-07-14,56
2013-07-21,41
2013-07-28,58
2013-08-04,43
2013-08-11,51
2013-08-18,34
2013-08-25,31
2013-09-01,42
2013-09-08,48
2013-09-15,63
2013-09-22,37
2013-09-29,40
2013-10-06,40
2013-10-13,53
2013-10-20,51
2013-10-27,85
2013-11-03,117
2013-11-10,99
2013-11-17,114
2013-11-24,92
2013-12-01,119
2013-12-08,117
2013-12-15,103
2013-12-22,83
2013-12-29,70
2014-01-05,102
2014-01-12,134
2014-01-19,132
2014-01-26,132
2014-02-02,128
2014-02-09,178
2014-02-16,184
2014-02-23,197
2014-03-02,207
2014-03-09,303
2014-03-16,355
2014-03-23,258
2014-03-30,279
2014-04-06,212
2014-04-13,205
2014-04-20,224
2014-04-27,244
2014-05-04,249
2014-05-11,228
2014-05-18,241
2014-05-25,221
2014-06-01,209
2014-06-08,190
2014-06-15,208
2014-06-22,248
2014-06-29,169
2014-07-06,205
2014-07-13,199
2014-07-20,256
2014-07-27,318
2014-08-03,328
2014-08-10,406
2014-08-17,669
2014-08-24,1047
2014-08-31,1470
2014-09-07,1966
2014-09-14,2000
2014-09-21,2077
2014-09-28,2390
2014-10-05,2090
2014-10-12,2181
2014-10-19,1973
2014-10-26,1616
2014-11-02,1496
2014-11-09,1594
2014-11-16,1586
2014-11-23,1494
2014-11-30,1257
2014-12-07,1104
2014-12-14,831
2014-12-21,625
2014-12-28,210
2015-01-04,890
2015-01-11,922
2015-01-18,902
2015-01-25,649
2015-02-01,701
2015-02-08,516
2015-02-15,494
2015-02-22,485
2015-03-01,478
2015-03-08,485
2015-03-15,560
2015-03-22,525
2015-03-29,441
2015-04-05,445
2015-04-12,401
2015-04-19,338
2015-04-26,325
2015-05-03,286
2015-05-10,287
2015-05-17,259
2015-05-24,193
2015-05-31,165
2015-06-07,131
2015-06-14,143
2015-06-21,100
2015-06-28,92
2015-07-05,79
2015-07-12,76
2015-07-19,91
2015-07-26,57
2015-08-02,62
2015-08-09,42
2015-08-16,70
2015-08-23,65
2015-08-30,47
2015-09-06,62
2015-09-13,59
2015-09-20,73
2015-09-27,83
2015-10-04,58
2015-10-11,89
2015-10-18,88
2015-10-25,89
2015-11-01,75
2015-11-08,96
2015-11-15,128
2015-11-22,115
2015-11-29,160
2015-12-06,253
2015-12-13,188
2015-12-20,160
2015-12-27,88
2016-01-03,292
2016-01-10,341
2016-01-17,436
2016-01-24,482
2016-01-31,716
2016-02-07,733
2016-02-14,596
2016-02-21,486
2016-02-28,540
2016-03-06,399
2016-03-13,318
2016-03-20,343
2016-03-27,293
2016-04-03,296
2016-04-10,326
2016-04-17,274
2016-04-24,179
2016-05-01,138
2016-05-08,124
2016-05-15,113
2016-05-22,99
2016-05-29,96
2016-06-05,83
2016-06-12,76
2016-06-19,79
2016-06-26,52
2016-07-03,46
2016-07-10,41
2016-07-17,40
2016-07-24,30
2016-07-31,40
2016-08-07,21
2016-08-14,42
2016-08-21,37
2016-08-28,38
2016-09-04,22
2016-09-11,29
2016-09-18,26
2016-09-25,26
2016-10-02,26
2016-10-09,40
2016-10-16,26
2016-10-23,32
2016-10-30,43
2016-11-06,42
2016-11-13,53
2016-11-20,80
2016-11-27,73
2016-12-04,92
2016-12-11,93
2016-12-18,89
2016-12-25,187
2017-01-01,200
2017-01-08,166
2017-01-15,202
2017-01-22,239
2017-01-29,225
2017-02-05,225
2017-02-12,209
2017-02-19,155
2017-02-26,157
2017-03-05,177
2017-03-12,148
2017-03-19,124
2017-03-26,115
2017-04-02,114
2017-04-09,110
2017-04-16,70
2017-04-23,62
2017-04-30,92
2017-05-07,74
2017-05-14,79
2017-05-21,80
2017-05-28,63
2017-06-04,59
2017-06-11,48
2017-06-18,46
2017-06-25,44
2017-07-02,49
2017-07-09,41
2017-07-16,46
2017-07-23,34
2017-07-30,40
2017-08-06,29
2017-08-13,29
2017-08-20,29
2017-08-27,42
2017-09-03,26
2017-09-10,37
2017-09-17,24
2017-09-24,25
2017-10-01,52
2017-10-08,48
2017-10-15,65
2017-10-22,58
2017-10-29,67
2017-11-05,78
2017-11-12,120
2017-11-19,155
2017-11-26,143
2017-12-03,207
2017-12-10,222
2017-12-17,215
2017-12-24,221
2017-12-31,366
2018-01-07,289
2018-01-14,309
2018-01-21,245
2018-01-28,223
2018-02-04,213
2018-02-11,247
2018-02-18,233
2018-02-25,236
2018-03-04,236
2018-03-11,209
2018-03-18,222
2018-03-25,190
2018-04-01,248
2018-04-04,254
2018-04-15,281
2018-04-22,188
2018-04-29,213
2018-05-06,219
2018-05-13,172
2018-05-20,213
2018-05-27,150
2018-06-03,121
2018-06-10,131
2018-06-17,126
2018-06-24,117
2018-07-01,106
2018-07-08,125
2018-07-15,106
2018-07-22,105
2018-07-29,92
2018-08-05,108
2018-08-12,113
2018-08-19,111
2018-08-26,102
2018-09-02,101
2018-09-09,177
2018-09-16,228
2018-09-23,219
2018-09-30,247
2018-10-07,321
2018-10-14,406
2018-10-21,437
2018-10-28,527
2018-11-04,579
2018-11-11,495
2018-11-18,515
2018-11-25,532
2018-12-02,433
2018-12-09,414
2018-12-16,445
2018-12-23,381
2018-12-30,712
2019-01-06,583
2019-01-13,522
2019-01-20,521
2019-01-27,431
2019-02-03,541
2019-02-10,535
2019-02-17,508
2019-02-24,361
2019-03-03,319
2019-03-10,359
2019-03-17,350
2019-03-24,307
2019-03-31,287
2019-04-07,217
2019-04-14,184
2019-04-21,160
2019-04-28,196
2019-05-05,152
2019-05-12,155
2019-05-19,137
2019-05-26,112
2019-06-02,93
2019-06-09,106
2019-06-16,87
2019-06-23,93
2019-06-30,74
2019-07-07,86
2019-07-14,84
2019-07-21,68
2019-07-28,102
2019-08-04,67
2019-08-11,52
2019-08-18,84
2019-08-25,91
2019-09-01,73
2019-09-08,119
2019-09-15,103
2019-09-22,79
2019-09-29,203
2019-10-06,285
2019-10-13,278
2019-10-20,352
2019-10-27,420
2019-11-03,630
2019-11-10,809
2019-11-17,919
2019-11-24,866
2019-12-01,1015
2019-12-08,947
2019-12-15,787
2019-12-22,491
2019-12-29,642
2020-01-05,975
2020-01-12,939
2020-01-19,753
2020-01-26,718
2020-02-02,542
2020-02-09,546
2020-02-16,386
2020-02-23,331
2020-03-01,304
2020-03-08,267
2020-03-15,129
2020-03-22,84
2020-03-29,85
2020-04-05,92
2020-04-12,105
2020-04-19,92
2020-04-26,183
2020-05-03,224
2020-05-10,441
2020-05-17,312
2020-05-24,302
2020-05-31,257
2020-06-07,283
2020-06-14,224
2020-06-21,123
2020-06-28,129
2020-07-05,110
2020-07-12,106
2020-07-19,84
2020-07-26,92
2020-08-02,74
2020-08-09,72
2020-08-16,73
2020-08-23,50
2020-08-30,78
2020-09-06,59
2020-09-13,64
2020-09-20,70
2020-09-27,75
2020-10-04,64
2020-10-11,79
2020-10-18,115
2020-10-25,114
2020-11-01,156
2020-11-08,236
2020-11-15,348
2020-11-22,386
2020-11-29,514
2020-12-06,469
2020-12-13,575
2020-12-20,641
2020-12-27,649
2021-01-03,1813
2021-01-10,1816
2021-01-17,2209
2021-01-24,1998
2021-01-31,1996
2021-02-07,1767
2021-02-14,2060
2021-02-21,2066
2021-02-28,2160
2021-03-07,1686
2021-03-14,1200
2021-03-21,753
2021-03-28,683
2021-04-04,566
2021-04-11,539
2021-04-18,432
2021-04-25,368
2021-05-02,269
2021-05-09,279
2021-05-16,217
2021-05-23,181
2021-05-30,163
2021-06-06,146
2021-06-13,143
2021-06-20,96
2021-06-27,116
2021-07-04,122
2021-07-11,86
2021-07-18,99
2021-07-25,74
2021-08-01,115
2021-08-08,110
2021-08-15,94
2021-08-22,67
2021-08-29,77
2021-09-05,95
2021-09-12,80
2021-09-19,100
2021-09-26,99
2021-10-03,125
2021-10-10,142
2021-10-17,180
2021-10-24,151
2021-10-31,163
2021-11-07,171
2021-11-14,194
2021-11-21,180
2021-11-28,279
2021-12-05,270
2021-12-12,270
2021-12-19,121
2021-12-26,4
2022-01-02,271
2022-01-09,283
2022-01-16,406
2022-01-23,335
2022-01-30,251
2022-02-06,254
2022-02-13,207
2022-02-20,177
2022-02-27,271
2022-03-06,214
2022-03-13,196
2022-03-20,207
2022-03-27,157
2022-04-03,167
2022-04-10,164
2022-04-17,178
2022-04-24,188
2022-05-01,200
2022-05-08,165
2022-05-15,160
2022-05-22,157
2022-05-29,146
2022-06-05,116
2022-06-12,116
2022-06-19,110
2022-06-26,119
2022-07-03,129
2022-07-10,166
2022-07-17,138
2022-07-24,127
2022-07-31,135
2022-08-07,61
2022-08-14,85
2022-08-21,63
2022-08-28,45
2022-09-04,51
2022-09-11,60
2022-09-18,75
2022-09-25,97
2022-10-02,91
2022-10-09,97
2022-10-16,119
2022-10-23,121
2022-10-30,126
2022-11-06,141
2022-11-13,166
2022-11-20,183
2022-11-27,243
2022-12-04,200
2022-12-11,200
2022-12-18,213
2022-12-25,272
2023-01-01,390
2023-01-08,329
2023-01-15,400
2023-01-22,447
2023-01-29,528
2023-02-05,549
2023-02-12,501
2023-02-19,506
2023-02-26,809
2023-03-05,762
2023-03-12,835
2023-03-19,800
2023-03-26,882
2023-04-02,774
2023-04-09,1117
2023-04-16,904
2023-04-23,697
2023-04-30,684
2023-05-07,530
2023-05-14,369
2023-05-21,254
2023-05-28,227
2023-06-04,205
2023-06-11,153
2023-06-18,176
2023-06-25,146
2023-07-02,133
2023-07-09,149
2023-07-16,138
2023-07-23,93
2023-07-30,131
2023-08-06,133
2023-08-13,131
2023-08-20,131
2023-08-27,133
2023-09-03,94
2023-09-10,182
2023-09-17,178
2023-09-24,192
2023-10-01,240
2023-10-08,240
2023-10-15,359
2023-10-22,459
2023-10-29,533
2023-11-05,674
2023-11-12,745
2023-11-19,951
2023-11-26,1179
2023-12-03,1253
2023-12-10,1309
2023-12-17,758
2023-12-24,1376
