Category: All categories,,
,,
Month,Dengue: (State of Acre),SINTOMAS DENGUE: (State of Acre)
2013-01,0,0
2013-02,16,54
2013-03,0,0
2013-04,12,0
2013-05,0,0
2013-06,0,72
2013-07,0,0
2013-08,0,0
2013-09,0,0
2013-10,0,0
2013-11,6,0
2013-12,5,0
2014-01,0,0
2014-02,0,0
2014-03,7,0
2014-04,7,0
2014-05,8,0
2014-06,0,0
2014-07,8,0
2014-08,0,0
2014-09,8,0
2014-10,13,0
2014-11,8,0
2014-12,0,0
2015-01,0,0
2015-02,0,0
2015-03,9,0
2015-04,11,0
2015-05,6,0
2015-06,7,0
2015-07,0,0
2015-08,0,0
2015-09,0,0
2015-10,0,0
2015-11,0,0
2015-12,13,0
2016-01,14,14
2016-02,52,43
2016-03,32,24
2016-04,24,16
2016-05,11,0
2016-06,13,0
2016-07,7,0
2016-08,5,0
2016-09,4,0
2016-10,0,0
2016-11,7,0
2016-12,4,0
2017-01,5,0
2017-02,9,0
2017-03,12,0
2017-04,12,0
2017-05,7,0
2017-06,7,0
2017-07,0,0
2017-08,4,0
2017-09,5,0
2017-10,5,0
2017-11,10,0
2017-12,7,0
2018-01,13,0
2018-02,6,0
2018-03,9,0
2018-04,8,0
2018-05,8,0
2018-06,6,13
2018-07,5,0
2018-08,7,0
2018-09,9,0
2018-10,19,0
2018-11,20,15
2018-12,24,24
2019-01,26,26
2019-02,22,19
2019-03,21,25
2019-04,14,0
2019-05,10,0
2019-06,7,0
2019-07,0,0
2019-08,7,0
2019-09,7,16
2019-10,7,13
2019-11,19,18
2019-12,30,24
2020-01,23,20
2020-02,16,11
2020-03,22,14
2020-04,13,17
2020-05,16,23
2020-06,15,24
2020-07,11,0
2020-08,7,0
2020-09,5,0
2020-10,7,8
2020-11,11,23
2020-12,28,31
2021-01,69,95
2021-02,79,100
2021-03,53,68
2021-04,21,19
2021-05,10,8
2021-06,7,0
2021-07,4,0
2021-08,4,0
2021-09,6,0
2021-10,7,0
2021-11,7,0
2021-12,12,0
2022-01,17,25
2022-02,10,0
2022-03,12,6
2022-04,9,10
2022-05,10,9
2022-06,7,8
2022-07,8,10
2022-08,6,7
2022-09,5,0
2022-10,6,7
2022-11,8,10
2022-12,9,0
2023-01,13,9
2023-02,19,15
2023-03,24,26
2023-04,32,32
2023-05,16,13
2023-06,7,0
2023-07,8,8
2023-08,7,0
2023-09,4,9
2023-10,11,0
2023-11,24,0
2023-12,100,92
