"ew_start","sum_of_cases"
2012-12-30,422
2013-01-06,652
2013-01-13,1025
2013-01-20,1533
2013-01-27,1523
2013-02-03,1253
2013-02-10,1170
2013-02-17,1504
2013-02-24,1237
2013-03-03,1188
2013-03-10,1111
2013-03-17,1097
2013-03-24,828
2013-03-31,994
2013-04-07,904
2013-04-14,775
2013-04-21,553
2013-04-28,517
2013-05-05,406
2013-05-12,425
2013-05-19,407
2013-05-26,300
2013-06-02,371
2013-06-09,279
2013-06-16,240
2013-06-23,224
2013-06-30,217
2013-07-07,203
2013-07-14,150
2013-07-21,146
2013-07-28,176
2013-08-04,142
2013-08-11,124
2013-08-18,121
2013-08-25,82
2013-09-01,110
2013-09-08,124
2013-09-15,104
2013-09-22,89
2013-09-29,102
2013-10-06,94
2013-10-13,119
2013-10-20,111
2013-10-27,126
2013-11-03,74
2013-11-10,105
2013-11-17,141
2013-11-24,164
2013-12-01,214
2013-12-08,153
2013-12-15,166
2013-12-22,111
2013-12-29,216
2014-01-05,376
2014-01-12,352
2014-01-19,417
2014-01-26,392
2014-02-02,304
2014-02-09,356
2014-02-16,399
2014-02-23,377
2014-03-02,342
2014-03-09,466
2014-03-16,419
2014-03-23,430
2014-03-30,573
2014-04-06,367
2014-04-13,279
2014-04-20,310
2014-04-27,247
2014-05-04,297
2014-05-11,221
2014-05-18,206
2014-05-25,190
2014-06-01,180
2014-06-08,125
2014-06-15,149
2014-06-22,164
2014-06-29,150
2014-07-06,128
2014-07-13,113
2014-07-20,112
2014-07-27,112
2014-08-03,115
2014-08-10,142
2014-08-17,147
2014-08-24,87
2014-08-31,91
2014-09-07,131
2014-09-14,129
2014-09-21,88
2014-09-28,93
2014-10-05,75
2014-10-12,59
2014-10-19,71
2014-10-26,104
2014-11-02,125
2014-11-09,111
2014-11-16,99
2014-11-23,123
2014-11-30,109
2014-12-07,136
2014-12-14,121
2014-12-21,106
2014-12-28,56
2015-01-04,146
2015-01-11,157
2015-01-18,202
2015-01-25,178
2015-02-01,248
2015-02-08,197
2015-02-15,202
2015-02-22,191
2015-03-01,280
2015-03-08,287
2015-03-15,294
2015-03-22,239
2015-03-29,159
2015-04-05,209
2015-04-12,207
2015-04-19,193
2015-04-26,194
2015-05-03,193
2015-05-10,209
2015-05-17,202
2015-05-24,174
2015-05-31,202
2015-06-07,184
2015-06-14,138
2015-06-21,152
2015-06-28,116
2015-07-05,110
2015-07-12,119
2015-07-19,141
2015-07-26,111
2015-08-02,118
2015-08-09,99
2015-08-16,75
2015-08-23,73
2015-08-30,91
2015-09-06,102
2015-09-13,111
2015-09-20,90
2015-09-27,110
2015-10-04,91
2015-10-11,72
2015-10-18,68
2015-10-25,67
2015-11-01,79
2015-11-08,57
2015-11-15,64
2015-11-22,70
2015-11-29,94
2015-12-06,126
2015-12-13,157
2015-12-20,183
2015-12-27,97
2016-01-03,285
2016-01-10,317
2016-01-17,392
2016-01-24,482
2016-01-31,493
2016-02-07,617
2016-02-14,748
2016-02-21,580
2016-02-28,627
2016-03-06,545
2016-03-13,411
2016-03-20,509
2016-03-27,687
2016-04-03,640
2016-04-10,695
2016-04-17,629
2016-04-24,619
2016-05-01,433
2016-05-08,393
2016-05-15,376
2016-05-22,290
2016-05-29,292
2016-06-05,355
2016-06-12,263
2016-06-19,263
2016-06-26,193
2016-07-03,222
2016-07-10,197
2016-07-17,180
2016-07-24,144
2016-07-31,131
2016-08-07,105
2016-08-14,138
2016-08-21,116
2016-08-28,84
2016-09-04,80
2016-09-11,93
2016-09-18,106
2016-09-25,80
2016-10-02,77
2016-10-09,68
2016-10-16,91
2016-10-23,66
2016-10-30,89
2016-11-06,93
2016-11-13,134
2016-11-20,123
2016-11-27,185
2016-12-04,146
2016-12-11,115
2016-12-18,104
2016-12-25,169
2017-01-01,263
2017-01-08,244
2017-01-15,317
2017-01-22,333
2017-01-29,422
2017-02-05,446
2017-02-12,329
2017-02-19,212
2017-02-26,235
2017-03-05,251
2017-03-12,275
2017-03-19,324
2017-03-26,269
2017-04-02,267
2017-04-09,261
2017-04-16,209
2017-04-23,156
2017-04-30,179
2017-05-07,142
2017-05-14,161
2017-05-21,119
2017-05-28,113
2017-06-04,102
2017-06-11,94
2017-06-18,98
2017-06-25,82
2017-07-02,85
2017-07-09,82
2017-07-16,87
2017-07-23,113
2017-07-30,97
2017-08-06,105
2017-08-13,87
2017-08-20,108
2017-08-27,106
2017-09-03,104
2017-09-10,116
2017-09-17,112
2017-09-24,115
2017-10-01,115
2017-10-08,92
2017-10-15,87
2017-10-22,58
2017-10-29,68
2017-11-05,95
2017-11-12,66
2017-11-19,95
2017-11-26,78
2017-12-03,80
2017-12-10,65
2017-12-17,70
2017-12-24,93
2017-12-31,122
2018-01-07,117
2018-01-14,155
2018-01-21,154
2018-01-28,120
2018-02-04,123
2018-02-11,135
2018-02-18,128
2018-02-25,144
2018-03-04,138
2018-03-11,133
2018-03-18,126
2018-03-25,119
2018-04-01,162
2018-04-04,161
2018-04-15,128
2018-04-22,105
2018-04-29,93
2018-05-06,100
2018-05-13,109
2018-05-20,91
2018-05-27,57
2018-06-03,105
2018-06-10,99
2018-06-17,99
2018-06-24,63
2018-07-01,93
2018-07-08,108
2018-07-15,92
2018-07-22,80
2018-07-29,79
2018-08-05,89
2018-08-12,88
2018-08-19,84
2018-08-26,76
2018-09-02,50
2018-09-09,65
2018-09-16,66
2018-09-23,39
2018-09-30,60
2018-10-07,39
2018-10-14,48
2018-10-21,50
2018-10-28,37
2018-11-04,58
2018-11-11,32
2018-11-18,45
2018-11-25,26
2018-12-02,45
2018-12-09,46
2018-12-16,58
2018-12-23,48
2018-12-30,192
2019-01-06,114
2019-01-13,120
2019-01-20,86
2019-01-27,103
2019-02-03,129
2019-02-10,148
2019-02-17,127
2019-02-24,77
2019-03-03,118
2019-03-10,77
2019-03-17,103
2019-03-24,66
2019-03-31,83
2019-04-07,86
2019-04-14,103
2019-04-21,124
2019-04-28,105
2019-05-05,86
2019-05-12,82
2019-05-19,65
2019-05-26,98
2019-06-02,85
2019-06-09,100
2019-06-16,70
2019-06-23,65
2019-06-30,90
2019-07-07,86
2019-07-14,58
2019-07-21,67
2019-07-28,65
2019-08-04,58
2019-08-11,64
2019-08-18,48
2019-08-25,54
2019-09-01,62
2019-09-08,62
2019-09-15,60
2019-09-22,109
2019-09-29,135
2019-10-06,151
2019-10-13,230
2019-10-20,312
2019-10-27,318
2019-11-03,314
2019-11-10,367
2019-11-17,439
2019-11-24,429
2019-12-01,476
2019-12-08,472
2019-12-15,374
2019-12-22,308
2019-12-29,320
2020-01-05,552
2020-01-12,460
2020-01-19,375
2020-01-26,413
2020-02-02,337
2020-02-09,349
2020-02-16,278
2020-02-23,271
2020-03-01,383
2020-03-08,369
2020-03-15,275
2020-03-22,175
2020-03-29,231
2020-04-05,177
2020-04-12,185
2020-04-19,172
2020-04-26,155
2020-05-03,144
2020-05-10,195
2020-05-17,197
2020-05-24,199
2020-05-31,211
2020-06-07,199
2020-06-14,222
2020-06-21,144
2020-06-28,168
2020-07-05,149
2020-07-12,94
2020-07-19,106
2020-07-26,86
2020-08-02,72
2020-08-09,89
2020-08-16,90
2020-08-23,92
2020-08-30,88
2020-09-06,75
2020-09-13,66
2020-09-20,119
2020-09-27,116
2020-10-04,127
2020-10-11,109
2020-10-18,130
2020-10-25,135
2020-11-01,131
2020-11-08,128
2020-11-15,136
2020-11-22,169
2020-11-29,161
2020-12-06,251
2020-12-13,204
2020-12-20,207
2020-12-27,143
2021-01-03,310
2021-01-10,304
2021-01-17,348
2021-01-24,323
2021-01-31,408
2021-02-07,457
2021-02-14,513
2021-02-21,544
2021-02-28,649
2021-03-07,579
2021-03-14,658
2021-03-21,581
2021-03-28,569
2021-04-04,532
2021-04-11,454
2021-04-18,401
2021-04-25,453
2021-05-02,432
2021-05-09,452
2021-05-16,340
2021-05-23,326
2021-05-30,358
2021-06-06,347
2021-06-13,287
2021-06-20,272
2021-06-27,248
2021-07-04,292
2021-07-11,214
2021-07-18,227
2021-07-25,185
2021-08-01,200
2021-08-08,176
2021-08-15,142
2021-08-22,120
2021-08-29,111
2021-09-05,132
2021-09-12,89
2021-09-19,99
2021-09-26,78
2021-10-03,83
2021-10-10,71
2021-10-17,99
2021-10-24,63
2021-10-31,71
2021-11-07,95
2021-11-14,149
2021-11-21,146
2021-11-28,140
2021-12-05,164
2021-12-12,134
2021-12-19,92
2021-12-26,6
2022-01-02,210
2022-01-09,163
2022-01-16,133
2022-01-23,171
2022-01-30,180
2022-02-06,175
2022-02-13,212
2022-02-20,191
2022-02-27,242
2022-03-06,226
2022-03-13,267
2022-03-20,262
2022-03-27,272
2022-04-03,219
2022-04-10,224
2022-04-17,255
2022-04-24,218
2022-05-01,241
2022-05-08,284
2022-05-15,293
2022-05-22,252
2022-05-29,220
2022-06-05,176
2022-06-12,194
2022-06-19,131
2022-06-26,125
2022-07-03,155
2022-07-10,159
2022-07-17,127
2022-07-24,105
2022-07-31,139
2022-08-07,88
2022-08-14,96
2022-08-21,59
2022-08-28,76
2022-09-04,113
2022-09-11,186
2022-09-18,202
2022-09-25,295
2022-10-02,317
2022-10-09,315
2022-10-16,269
2022-10-23,252
2022-10-30,323
2022-11-06,363
2022-11-13,294
2022-11-20,317
2022-11-27,294
2022-12-04,267
2022-12-11,345
2022-12-18,293
2022-12-25,326
2023-01-01,661
2023-01-08,607
2023-01-15,648
2023-01-22,669
2023-01-29,792
2023-02-05,710
2023-02-12,497
2023-02-19,462
2023-02-26,506
2023-03-05,496
2023-03-12,447
2023-03-19,411
2023-03-26,375
2023-04-02,363
2023-04-09,419
2023-04-16,460
2023-04-23,414
2023-04-30,455
2023-05-07,333
2023-05-14,423
2023-05-21,344
2023-05-28,285
2023-06-04,239
2023-06-11,228
2023-06-18,245
2023-06-25,231
2023-07-02,270
2023-07-09,268
2023-07-16,259
2023-07-23,264
2023-07-30,192
2023-08-06,175
2023-08-13,216
2023-08-20,202
2023-08-27,186
2023-09-03,177
2023-09-10,183
2023-09-17,173
2023-09-24,164
2023-10-01,170
2023-10-08,137
2023-10-15,197
2023-10-22,162
2023-10-29,151
2023-11-05,245
2023-11-12,195
2023-11-19,235
2023-11-26,289
2023-12-03,318
2023-12-10,366
2023-12-17,417
2023-12-24,570
