"ew_start","sum_of_cases"
2012-12-30,2185
2013-01-06,3897
2013-01-13,4533
2013-01-20,5867
2013-01-27,6384
2013-02-03,6323
2013-02-10,8398
2013-02-17,13401
2013-02-24,16301
2013-03-03,18838
2013-03-10,21940
2013-03-17,20402
2013-03-24,18090
2013-03-31,20736
2013-04-07,20726
2013-04-14,16120
2013-04-21,11223
2013-04-28,8597
2013-05-05,6962
2013-05-12,5504
2013-05-19,4226
2013-05-26,2725
2013-06-02,2380
2013-06-09,2051
2013-06-16,1557
2013-06-23,1175
2013-06-30,1040
2013-07-07,670
2013-07-14,536
2013-07-21,300
2013-07-28,358
2013-08-04,311
2013-08-11,441
2013-08-18,321
2013-08-25,372
2013-09-01,240
2013-09-08,228
2013-09-15,192
2013-09-22,237
2013-09-29,163
2013-10-06,231
2013-10-13,270
2013-10-20,245
2013-10-27,219
2013-11-03,199
2013-11-10,252
2013-11-17,277
2013-11-24,297
2013-12-01,441
2013-12-08,379
2013-12-15,333
2013-12-22,294
2013-12-29,360
2014-01-05,675
2014-01-12,617
2014-01-19,582
2014-01-26,468
2014-02-02,492
2014-02-09,495
2014-02-16,454
2014-02-23,335
2014-03-02,353
2014-03-09,404
2014-03-16,458
2014-03-23,400
2014-03-30,423
2014-04-06,380
2014-04-13,281
2014-04-20,339
2014-04-27,356
2014-05-04,383
2014-05-11,402
2014-05-18,317
2014-05-25,272
2014-06-01,308
2014-06-08,267
2014-06-15,260
2014-06-22,246
2014-06-29,222
2014-07-06,204
2014-07-13,234
2014-07-20,197
2014-07-27,191
2014-08-03,212
2014-08-10,238
2014-08-17,237
2014-08-24,222
2014-08-31,218
2014-09-07,168
2014-09-14,206
2014-09-21,225
2014-09-28,229
2014-10-05,212
2014-10-12,189
2014-10-19,191
2014-10-26,158
2014-11-02,156
2014-11-09,160
2014-11-16,130
2014-11-23,132
2014-11-30,153
2014-12-07,179
2014-12-14,230
2014-12-21,198
2014-12-28,115
2015-01-04,639
2015-01-11,818
2015-01-18,1201
2015-01-25,1141
2015-02-01,1218
2015-02-08,1142
2015-02-15,1265
2015-02-22,1650
2015-03-01,2569
2015-03-08,2881
2015-03-15,3569
2015-03-22,3270
2015-03-29,3237
2015-04-05,4243
2015-04-12,4483
2015-04-19,4249
2015-04-26,4870
2015-05-03,4703
2015-05-10,4787
2015-05-17,3934
2015-05-24,3027
2015-05-31,2614
2015-06-07,2377
2015-06-14,2138
2015-06-21,1748
2015-06-28,1211
2015-07-05,1097
2015-07-12,988
2015-07-19,953
2015-07-26,883
2015-08-02,826
2015-08-09,1002
2015-08-16,626
2015-08-23,543
2015-08-30,542
2015-09-06,465
2015-09-13,397
2015-09-20,448
2015-09-27,455
2015-10-04,437
2015-10-11,441
2015-10-18,486
2015-10-25,442
2015-11-01,631
2015-11-08,789
2015-11-15,930
2015-11-22,1284
2015-11-29,1790
2015-12-06,2360
2015-12-13,2724
2015-12-20,2503
2015-12-27,1889
2016-01-03,5179
2016-01-10,4697
2016-01-17,5177
2016-01-24,4810
2016-01-31,4522
2016-02-07,5128
2016-02-14,5926
2016-02-21,5300
2016-02-28,5128
2016-03-06,5185
2016-03-13,5555
2016-03-20,5624
2016-03-27,6513
2016-04-03,6338
2016-04-10,6173
2016-04-17,4873
2016-04-24,4535
2016-05-01,3108
2016-05-08,2785
2016-05-15,2226
2016-05-22,1379
2016-05-29,1167
2016-06-05,1019
2016-06-12,724
2016-06-19,723
2016-06-26,705
2016-07-03,734
2016-07-10,588
2016-07-17,410
2016-07-24,264
2016-07-31,290
2016-08-07,241
2016-08-14,258
2016-08-21,326
2016-08-28,217
2016-09-04,151
2016-09-11,270
2016-09-18,196
2016-09-25,108
2016-10-02,106
2016-10-09,201
2016-10-16,240
2016-10-23,200
2016-10-30,178
2016-11-06,184
2016-11-13,275
2016-11-20,301
2016-11-27,329
2016-12-04,426
2016-12-11,325
2016-12-18,350
2016-12-25,1430
2017-01-01,604
2017-01-08,544
2017-01-15,656
2017-01-22,700
2017-01-29,625
2017-02-05,645
2017-02-12,598
2017-02-19,406
2017-02-26,508
2017-03-05,540
2017-03-12,579
2017-03-19,546
2017-03-26,506
2017-04-02,486
2017-04-09,393
2017-04-16,459
2017-04-23,459
2017-04-30,444
2017-05-07,366
2017-05-14,406
2017-05-21,288
2017-05-28,365
2017-06-04,401
2017-06-11,256
2017-06-18,276
2017-06-25,224
2017-07-02,240
2017-07-09,209
2017-07-16,178
2017-07-23,165
2017-07-30,189
2017-08-06,124
2017-08-13,136
2017-08-20,132
2017-08-27,132
2017-09-03,109
2017-09-10,131
2017-09-17,153
2017-09-24,123
2017-10-01,164
2017-10-08,152
2017-10-15,167
2017-10-22,143
2017-10-29,147
2017-11-05,195
2017-11-12,200
2017-11-19,183
2017-11-26,203
2017-12-03,257
2017-12-10,290
2017-12-17,230
2017-12-24,222
2017-12-31,408
2018-01-07,423
2018-01-14,676
2018-01-21,588
2018-01-28,580
2018-02-04,542
2018-02-11,599
2018-02-18,820
2018-02-25,839
2018-03-04,1064
2018-03-11,1134
2018-03-18,1086
2018-03-25,1037
2018-04-01,1340
2018-04-04,1302
2018-04-15,1027
2018-04-22,838
2018-04-29,1017
2018-05-06,840
2018-05-13,771
2018-05-20,540
2018-05-27,437
2018-06-03,404
2018-06-10,411
2018-06-17,332
2018-06-24,347
2018-07-01,441
2018-07-08,337
2018-07-15,332
2018-07-22,285
2018-07-29,194
2018-08-05,236
2018-08-12,168
2018-08-19,171
2018-08-26,158
2018-09-02,105
2018-09-09,127
2018-09-16,132
2018-09-23,120
2018-09-30,161
2018-10-07,127
2018-10-14,164
2018-10-21,147
2018-10-28,178
2018-11-04,185
2018-11-11,170
2018-11-18,241
2018-11-25,262
2018-12-02,318
2018-12-09,339
2018-12-16,311
2018-12-23,332
2018-12-30,465
2019-01-06,521
2019-01-13,549
2019-01-20,601
2019-01-27,585
2019-02-03,583
2019-02-10,549
2019-02-17,563
2019-02-24,629
2019-03-03,852
2019-03-10,1127
2019-03-17,1579
2019-03-24,1862
2019-03-31,2501
2019-04-07,2484
2019-04-14,2846
2019-04-21,3123
2019-04-28,3514
2019-05-05,3852
2019-05-12,3413
2019-05-19,3081
2019-05-26,2465
2019-06-02,1823
2019-06-09,1528
2019-06-16,1278
2019-06-23,1073
2019-06-30,1048
2019-07-07,613
2019-07-14,517
2019-07-21,362
2019-07-28,345
2019-08-04,314
2019-08-11,304
2019-08-18,209
2019-08-25,192
2019-09-01,230
2019-09-08,186
2019-09-15,182
2019-09-22,194
2019-09-29,173
2019-10-06,175
2019-10-13,188
2019-10-20,176
2019-10-27,182
2019-11-03,187
2019-11-10,198
2019-11-17,159
2019-11-24,204
2019-12-01,202
2019-12-08,262
2019-12-15,250
2019-12-22,194
2019-12-29,250
2020-01-05,398
2020-01-12,452
2020-01-19,417
2020-01-26,424
2020-02-02,400
2020-02-09,457
2020-02-16,463
2020-02-23,399
2020-03-01,423
2020-03-08,402
2020-03-15,243
2020-03-22,189
2020-03-29,203
2020-04-05,186
2020-04-12,200
2020-04-19,172
2020-04-26,160
2020-05-03,137
2020-05-10,128
2020-05-17,156
2020-05-24,101
2020-05-31,77
2020-06-07,88
2020-06-14,98
2020-06-21,93
2020-06-28,82
2020-07-05,84
2020-07-12,82
2020-07-19,89
2020-07-26,65
2020-08-02,43
2020-08-09,39
2020-08-16,49
2020-08-23,40
2020-08-30,74
2020-09-06,59
2020-09-13,59
2020-09-20,58
2020-09-27,54
2020-10-04,49
2020-10-11,58
2020-10-18,72
2020-10-25,51
2020-11-01,52
2020-11-08,72
2020-11-15,70
2020-11-22,55
2020-11-29,75
2020-12-06,59
2020-12-13,39
2020-12-20,34
2020-12-27,28
2021-01-03,56
2021-01-10,56
2021-01-17,67
2021-01-24,73
2021-01-31,58
2021-02-07,68
2021-02-14,65
2021-02-21,90
2021-02-28,88
2021-03-07,152
2021-03-14,224
2021-03-21,200
2021-03-28,256
2021-04-04,321
2021-04-11,238
2021-04-18,231
2021-04-25,232
2021-05-02,176
2021-05-09,175
2021-05-16,202
2021-05-23,157
2021-05-30,181
2021-06-06,168
2021-06-13,138
2021-06-20,128
2021-06-27,91
2021-07-04,93
2021-07-11,105
2021-07-18,90
2021-07-25,71
2021-08-01,67
2021-08-08,69
2021-08-15,77
2021-08-22,90
2021-08-29,62
2021-09-05,67
2021-09-12,75
2021-09-19,48
2021-09-26,61
2021-10-03,39
2021-10-10,42
2021-10-17,40
2021-10-24,24
2021-10-31,37
2021-11-07,22
2021-11-14,51
2021-11-21,76
2021-11-28,68
2021-12-05,71
2021-12-12,37
2021-12-19,49
2021-12-26,27
2022-01-02,65
2022-01-09,80
2022-01-16,69
2022-01-23,88
2022-01-30,108
2022-02-06,141
2022-02-13,151
2022-02-20,157
2022-02-27,237
2022-03-06,365
2022-03-13,401
2022-03-20,498
2022-03-27,525
2022-04-03,637
2022-04-10,615
2022-04-17,760
2022-04-24,985
2022-05-01,1183
2022-05-08,1483
2022-05-15,1250
2022-05-22,1145
2022-05-29,1077
2022-06-05,909
2022-06-12,621
2022-06-19,601
2022-06-26,520
2022-07-03,455
2022-07-10,445
2022-07-17,438
2022-07-24,394
2022-07-31,353
