Category: All categories,,
,,
Month,Dengue: (State of Rio de Janeiro),SINTOMAS DENGUE: (State of Rio de Janeiro)
2013-01,16,27
2013-02,30,47
2013-03,56,88
2013-04,62,97
2013-05,28,44
2013-06,17,32
2013-07,8,14
2013-08,7,8
2013-09,7,9
2013-10,7,9
2013-11,10,10
2013-12,6,7
2014-01,9,13
2014-02,9,12
2014-03,11,13
2014-04,15,20
2014-05,14,21
2014-06,10,15
2014-07,8,13
2014-08,9,15
2014-09,9,14
2014-10,9,12
2014-11,10,12
2014-12,7,10
2015-01,9,16
2015-02,18,27
2015-03,37,55
2015-04,45,86
2015-05,48,81
2015-06,26,39
2015-07,13,17
2015-08,11,15
2015-09,11,16
2015-10,10,14
2015-11,17,21
2015-12,41,52
2016-01,41,55
2016-02,100,100
2016-03,83,92
2016-04,58,81
2016-05,30,37
2016-06,16,16
2016-07,10,11
2016-08,8,8
2016-09,7,6
2016-10,8,6
2016-11,10,9
2016-12,10,11
2017-01,15,20
2017-02,26,21
2017-03,20,21
2017-04,14,15
2017-05,9,11
2017-06,8,10
2017-07,5,7
2017-08,5,6
2017-09,5,6
2017-10,7,8
2017-11,8,7
2017-12,7,8
2018-01,10,16
2018-02,11,18
2018-03,15,20
2018-04,13,19
2018-05,10,14
2018-06,8,11
2018-07,6,7
2018-08,5,7
2018-09,6,7
2018-10,6,7
2018-11,8,9
2018-12,8,12
2019-01,8,13
2019-02,28,23
2019-03,23,36
2019-04,35,59
2019-05,39,61
2019-06,26,42
2019-07,10,17
2019-08,7,10
2019-09,8,12
2019-10,7,9
2019-11,8,9
2019-12,8,13
2020-01,10,14
2020-02,17,20
2020-03,26,27
2020-04,17,25
2020-05,11,14
2020-06,7,8
2020-07,6,6
2020-08,5,4
2020-09,6,6
2020-10,5,6
2020-11,6,10
2020-12,7,13
2021-01,6,9
2021-02,6,7
2021-03,9,13
2021-04,10,14
2021-05,8,11
2021-06,7,8
2021-07,3,5
2021-08,4,4
2021-09,5,3
2021-10,3,3
2021-11,5,5
2021-12,4,8
2022-01,8,12
2022-02,5,7
2022-03,8,12
2022-04,13,23
2022-05,22,42
2022-06,13,26
2022-07,8,16
2022-08,6,7
2022-09,5,7
2022-10,7,12
2022-11,9,16
2022-12,7,14
2023-01,10,20
2023-02,14,30
2023-03,30,64
2023-04,31,62
2023-05,29,56
2023-06,22,35
2023-07,16,24
2023-08,10,14
2023-09,11,20
2023-10,13,24
2023-11,17,30
2023-12,30,51
