Category: All categories,,
,,
Week,DENGUE: (State of Rio de Janeiro),SINTOMAS DENGUE: (State of Rio de Janeiro)
06/01/2019,15,15
13/01/2019,15,15
20/01/2019,16,11
27/01/2019,16,16
03/02/2019,17,19
10/02/2019,32,22
17/02/2019,100,37
24/02/2019,41,26
03/03/2019,26,30
10/03/2019,41,33
17/03/2019,43,42
24/03/2019,49,52
31/03/2019,53,44
07/04/2019,55,49
14/04/2019,56,61
21/04/2019,67,87
28/04/2019,71,83
05/05/2019,69,74
12/05/2019,61,69
19/05/2019,64,65
26/05/2019,59,63
02/06/2019,48,45
09/06/2019,41,40
16/06/2019,45,43
23/06/2019,44,49
30/06/2019,30,33
07/07/2019,17,24
14/07/2019,13,13
21/07/2019,13,9
28/07/2019,13,13
04/08/2019,10,11
11/08/2019,11,13
18/08/2019,14,11
25/08/2019,11,11
01/09/2019,10,7
08/09/2019,15,15
15/09/2019,16,14
22/09/2019,12,11
29/09/2019,12,6
06/10/2019,12,6
13/10/2019,12,14
20/10/2019,15,12
27/10/2019,15,11
03/11/2019,13,10
10/11/2019,14,11
17/11/2019,14,11
24/11/2019,15,7
01/12/2019,16,9
08/12/2019,12,12
15/12/2019,12,11
22/12/2019,14,16
29/12/2019,15,15
05/01/2020,16,15
12/01/2020,16,19
19/01/2020,17,12
26/01/2020,20,14
02/02/2020,19,14
09/02/2020,26,19
16/02/2020,45,31
23/02/2020,29,27
01/03/2020,33,24
08/03/2020,45,28
15/03/2020,52,43
22/03/2020,47,28
29/03/2020,33,26
05/04/2020,29,17
12/04/2020,28,24
19/04/2020,30,35
26/04/2020,29,32
03/05/2020,22,22
10/05/2020,22,17
17/05/2020,17,11
24/05/2020,15,5
31/05/2020,12,8
07/06/2020,13,8
14/06/2020,11,11
21/06/2020,12,6
28/06/2020,11,5
05/07/2020,11,9
12/07/2020,8,7
19/07/2020,10,7
26/07/2020,8,6
02/08/2020,8,0
09/08/2020,8,5
16/08/2020,6,0
23/08/2020,9,4
30/08/2020,8,6
06/09/2020,9,8
13/09/2020,9,8
20/09/2020,11,5
27/09/2020,11,8
04/10/2020,10,5
11/10/2020,9,8
18/10/2020,11,9
25/10/2020,8,0
01/11/2020,6,5
08/11/2020,10,11
15/11/2020,11,13
22/11/2020,11,11
29/11/2020,14,14
