Category: All categories,,
,,
Month,Dengue: (State of São Paulo),SINTOMAS DENGUE: (State of São Paulo)
2013-01,6,7
2013-02,12,15
2013-03,20,22
2013-04,28,35
2013-05,13,19
2013-06,8,11
2013-07,3,5
2013-08,3,4
2013-09,3,3
2013-10,3,3
2013-11,5,4
2013-12,3,4
2014-01,4,6
2014-02,7,8
2014-03,13,15
2014-04,39,48
2014-05,34,41
2014-06,11,16
2014-07,6,7
2014-08,5,6
2014-09,5,5
2014-10,6,6
2014-11,6,5
2014-12,5,6
2015-01,10,11
2015-02,38,36
2015-03,100,100
2015-04,94,99
2015-05,50,49
2015-06,17,18
2015-07,6,6
2015-08,6,5
2015-09,6,5
2015-10,6,5
2015-11,11,7
2015-12,21,17
2016-01,23,23
2016-02,53,52
2016-03,54,41
2016-04,35,32
2016-05,12,11
2016-06,7,5
2016-07,4,4
2016-08,4,3
2016-09,4,3
2016-10,5,4
2016-11,7,5
2016-12,5,6
2017-01,7,7
2017-02,10,9
2017-03,9,8
2017-04,6,6
2017-05,5,4
2017-06,4,3
2017-07,2,2
2017-08,3,3
2017-09,4,4
2017-10,5,5
2017-11,6,5
2017-12,4,5
2018-01,7,8
2018-02,6,6
2018-03,6,6
2018-04,5,5
2018-05,4,4
2018-06,3,3
2018-07,2,2
2018-08,2,2
2018-09,3,3
2018-10,3,3
2018-11,5,4
2018-12,5,5
2019-01,8,9
2019-02,19,18
2019-03,24,27
2019-04,33,34
2019-05,38,38
2019-06,19,23
2019-07,7,8
2019-08,6,5
2019-09,5,5
2019-10,5,5
2019-11,6,5
2019-12,6,6
2020-01,11,12
2020-02,22,22
2020-03,28,23
2020-04,16,14
2020-05,10,9
2020-06,7,8
2020-07,6,5
2020-08,4,3
2020-09,4,3
2020-10,4,3
2020-11,4,3
2020-12,5,5
2021-01,7,9
2021-02,10,11
2021-03,18,21
2021-04,19,20
2021-05,12,13
2021-06,7,8
2021-07,3,3
2021-08,3,2
2021-09,3,3
2021-10,3,2
2021-11,4,3
2021-12,4,4
2022-01,8,12
2022-02,7,8
2022-03,16,15
2022-04,31,31
2022-05,32,37
2022-06,16,20
2022-07,7,9
2022-08,5,5
2022-09,5,5
2022-10,5,5
2022-11,5,5
2022-12,6,8
2023-01,7,10
2023-02,13,15
2023-03,29,31
2023-04,30,31
2023-05,23,25
2023-06,9,11
2023-07,6,6
2023-08,6,5
2023-09,6,5
2023-10,6,7
2023-11,7,6
2023-12,9,9
