Category: All categories,,
,,
Week,DENGUE: (State of São Paulo),SINTOMAS DENGUE: (State of São Paulo)
06/01/2019,16,17
13/01/2019,17,17
20/01/2019,24,22
27/01/2019,30,29
03/02/2019,34,31
10/02/2019,45,36
17/02/2019,57,49
24/02/2019,55,48
03/03/2019,53,56
10/03/2019,61,59
17/03/2019,63,59
24/03/2019,77,69
31/03/2019,72,70
07/04/2019,69,70
14/04/2019,74,78
21/04/2019,91,97
28/04/2019,100,98
05/05/2019,94,98
12/05/2019,83,99
19/05/2019,87,90
26/05/2019,73,78
02/06/2019,53,56
09/06/2019,47,56
16/06/2019,41,50
23/06/2019,39,49
30/06/2019,27,33
07/07/2019,15,14
14/07/2019,14,14
21/07/2019,15,18
28/07/2019,12,15
04/08/2019,14,14
11/08/2019,16,13
18/08/2019,13,11
25/08/2019,12,12
01/09/2019,11,9
08/09/2019,14,15
15/09/2019,16,15
22/09/2019,12,10
29/09/2019,13,12
06/10/2019,10,11
13/10/2019,12,12
20/10/2019,14,13
27/10/2019,11,9
03/11/2019,15,15
10/11/2019,14,11
17/11/2019,15,12
24/11/2019,13,11
01/12/2019,13,12
08/12/2019,11,11
15/12/2019,13,15
22/12/2019,15,18
29/12/2019,18,19
05/01/2020,20,20
12/01/2020,30,28
19/01/2020,31,30
26/01/2020,38,32
02/02/2020,45,36
09/02/2020,56,46
16/02/2020,61,59
23/02/2020,58,53
01/03/2020,62,50
08/03/2020,71,59
15/03/2020,73,67
22/03/2020,63,50
29/03/2020,50,40
05/04/2020,41,33
12/04/2020,40,32
19/04/2020,34,31
26/04/2020,35,32
03/05/2020,31,24
10/05/2020,29,21
17/05/2020,25,19
24/05/2020,20,16
31/05/2020,18,15
07/06/2020,19,17
14/06/2020,18,19
21/06/2020,18,19
28/06/2020,13,12
05/07/2020,15,14
12/07/2020,12,13
19/07/2020,12,12
26/07/2020,11,11
02/08/2020,10,9
09/08/2020,12,9
16/08/2020,9,8
23/08/2020,8,5
30/08/2020,8,7
06/09/2020,9,8
13/09/2020,10,8
20/09/2020,13,7
27/09/2020,11,6
04/10/2020,10,6
11/10/2020,8,6
18/10/2020,9,7
25/10/2020,9,6
01/11/2020,8,6
08/11/2020,10,8
15/11/2020,10,7
22/11/2020,10,9
29/11/2020,11,10
06/12/2020,11,11
13/12/2020,10,11
20/12/2020,12,14
27/12/2020,13,16
03/01/2021,17,22
10/01/2021,15,18
17/01/2021,16,20
24/01/2021,17,22
31/01/2021,18,21
07/02/2021,22,23
14/02/2021,25,26
21/02/2021,28,32
28/02/2021,34,38
07/03/2021,38,39
14/03/2021,43,47
21/03/2021,47,49
28/03/2021,49,58
04/04/2021,47,47
11/04/2021,47,45
18/04/2021,41,43
25/04/2021,41,39
02/05/2021,38,35
09/05/2021,33,35
16/05/2021,29,29
23/05/2021,27,26
30/05/2021,22,25
06/06/2021,20,22
13/06/2021,17,16
20/06/2021,14,12
27/06/2021,10,9
04/07/2021,9,8
11/07/2021,8,8
18/07/2021,7,7
25/07/2021,6,7
01/08/2021,6,4
08/08/2021,5,4
15/08/2021,7,7
22/08/2021,7,5
29/08/2021,7,7
05/09/2021,6,4
12/09/2021,9,6
19/09/2021,9,7
26/09/2021,9,7
03/10/2021,8,5
10/10/2021,6,5
17/10/2021,7,4
24/10/2021,7,5
31/10/2021,8,7
07/11/2021,10,7
14/11/2021,8,6
21/11/2021,10,8
28/11/2021,9,8
05/12/2021,8,8
12/12/2021,9,11
19/12/2021,9,10
26/12/2021,10,13
02/01/2022,17,26
09/01/2022,21,31
16/01/2022,23,34
23/01/2022,18,26
30/01/2022,15,18
06/02/2022,17,18
13/02/2022,20,19
20/02/2022,21,19
27/02/2022,21,21
06/03/2022,27,25
13/03/2022,35,31
20/03/2022,44,38
27/03/2022,49,51
03/04/2022,59,61
10/04/2022,65,73
17/04/2022,79,75
24/04/2022,88,100
01/05/2022,81,94
08/05/2022,100,100
15/05/2022,63,71
22/05/2022,61,74
29/05/2022,49,64
05/06/2022,44,50
12/06/2022,32,42
19/06/2022,30,39
26/06/2022,27,34
03/07/2022,21,29
10/07/2022,17,23
17/07/2022,15,20
24/07/2022,13,13
31/07/2022,13,16
07/08/2022,11,11
