,date,N_cases
A005349173_9_57_89.csv.1,01/01/2001 ,31878
A005349173_9_57_89.csv.2,01/02/2001 ,44311
A005349173_9_57_89.csv.3,01/03/2001 ,62631
A005349173_9_57_89.csv.4,01/04/2001 ,78440
A005349173_9_57_89.csv.5,01/05/2001 ,72607
A005349173_9_57_89.csv.6,01/06/2001 ,33524
A005349173_9_57_89.csv.7,01/07/2001 ,16673
A005349173_9_57_89.csv.8,01/08/2001 ,10431
A005349173_9_57_89.csv.9,01/09/2001 ,7001
A005349173_9_57_89.csv.10,01/10/2001 ,7917
A005349173_9_57_89.csv.11,01/11/2001 ,10075
A005349173_9_57_89.csv.12,01/12/2001 ,11372
A005334173_9_57_89.csv.1,01/01/2002 ,93367
A005334173_9_57_89.csv.2,01/02/2002 ,191316
A005334173_9_57_89.csv.3,01/03/2002 ,220269
A005334173_9_57_89.csv.4,01/04/2002 ,96300
A005334173_9_57_89.csv.5,01/05/2002 ,39465
A005334173_9_57_89.csv.6,01/06/2002 ,14850
A005334173_9_57_89.csv.7,01/07/2002 ,8930
A005334173_9_57_89.csv.8,01/08/2002 ,7017
A005334173_9_57_89.csv.9,01/09/2002 ,5272
A005334173_9_57_89.csv.10,01/10/2002 ,5884
A005334173_9_57_89.csv.11,01/11/2002 ,9139
A005334173_9_57_89.csv.12,01/12/2002 ,11389
A005317173_9_57_89.csv.1,01/01/2003 ,26608
A005317173_9_57_89.csv.2,01/02/2003 ,48803
A005317173_9_57_89.csv.3,01/03/2003 ,66217
A005317173_9_57_89.csv.4,01/04/2003 ,47432
A005317173_9_57_89.csv.5,01/05/2003 ,35696
A005317173_9_57_89.csv.6,01/06/2003 ,18159
A005317173_9_57_89.csv.7,01/07/2003 ,9446
A005317173_9_57_89.csv.8,01/08/2003 ,6797
A005317173_9_57_89.csv.9,01/09/2003 ,4960
A005317173_9_57_89.csv.10,01/10/2003 ,3988
A005317173_9_57_89.csv.11,01/11/2003 ,4962
A005317173_9_57_89.csv.12,01/12/2003 ,6071
A005303173_9_57_89.csv.1,01/01/2004 ,7919
A005303173_9_57_89.csv.2,01/02/2004 ,10555
A005303173_9_57_89.csv.3,01/03/2004 ,14487
A005303173_9_57_89.csv.4,01/04/2004 ,9218
A005303173_9_57_89.csv.5,01/05/2004 ,7544
A005303173_9_57_89.csv.6,01/06/2004 ,3760
A005303173_9_57_89.csv.7,01/07/2004 ,2606
A005303173_9_57_89.csv.8,01/08/2004 ,2219
A005303173_9_57_89.csv.9,01/09/2004 ,1619
A005303173_9_57_89.csv.10,01/10/2004 ,2133
A005303173_9_57_89.csv.11,01/11/2004 ,4841
A005303173_9_57_89.csv.12,01/12/2004 ,5425
A005250173_9_57_89.csv.1,01/01/2005 ,10212
A005250173_9_57_89.csv.2,01/02/2005 ,14058
A005250173_9_57_89.csv.3,01/03/2005 ,22079
