"","dengue","sintomas.dengue","sintomas.da.dengue","a.dengue","mosquito.dengue","mosquito","mosquito.da.dengue","dengue.hemorrágica","sintomas.de.dengue","sobre.a.dengue"
"2004-01-10",2,5,7,0,8,8,9,0,0,0
"2004-01-17",4,10,8,2,3,10,3,0,0,0
"2004-01-24",4,3,4,5,5,10,4,46,0,5
"2004-01-31",5,7,4,2,5,10,3,43,0,5
"2004-02-07",6,4,13,2,8,14,7,43,0,5
"2004-02-14",8,9,4,3,8,9,8,43,12,5
"2004-02-21",8,9,9,4,4,6,6,35,12,8
"2004-02-28",5,8,11,5,5,6,5,35,20,6
"2004-03-06",10,6,6,6,5,7,6,35,19,7
"2004-03-13",4,5,16,4,5,6,7,35,26,8
"2004-03-20",9,5,8,7,6,8,7,35,33,9
"2004-03-27",11,4,6,7,12,11,9,34,39,23
"2004-04-03",12,8,6,6,8,7,8,34,25,12
"2004-04-10",8,2,7,4,2,5,6,33,12,9
"2004-04-17",7,7,5,6,14,6,6,33,17,14
"2004-04-24",8,4,5,4,4,8,6,33,9,6
"2004-05-01",7,7,6,4,5,8,6,33,9,6
"2004-05-08",6,7,4,5,2,4,2,32,9,6
"2004-05-15",7,5,6,4,7,10,8,32,9,4
"2004-05-22",6,4,5,3,4,7,3,31,13,4
"2004-05-29",6,4,3,3,3,6,4,32,9,7
"2004-06-05",8,3,4,5,3,7,2,33,14,5
"2004-06-12",5,3,6,2,2,6,3,34,19,4
"2004-06-19",7,7,4,3,5,6,6,30,17,3
"2004-06-26",4,4,3,3,2,7,2,30,9,4
"2004-07-03",4,4,4,2,4,6,3,31,9,4
"2004-07-10",4,2,5,2,3,4,2,49,9,4
"2004-07-17",3,5,7,2,3,2,3,34,0,5
"2004-07-24",2,2,3,1,2,5,2,34,0,4
"2004-07-31",3,2,3,1,6,5,2,30,0,4
"2004-08-07",4,5,3,3,4,4,4,30,0,3
"2004-08-14",4,2,4,4,4,8,7,0,0,3
"2004-08-21",4,2,5,2,5,6,4,0,0,6
"2004-08-28",5,3,2,2,4,7,4,0,0,3
"2004-09-04",4,5,5,4,2,5,3,0,0,3
"2004-09-11",4,3,4,2,4,6,2,0,9,3
"2004-09-18",4,2,2,4,2,6,2,0,7,3
"2004-09-25",3,3,3,3,3,9,3,25,7,4
"2004-10-02",3,4,3,2,2,7,2,38,7,4
"2004-10-09",3,5,5,2,2,7,2,25,7,4
"2004-10-16",3,4,4,4,5,8,4,25,8,4
"2004-10-23",4,4,4,4,3,7,4,25,8,8
"2004-10-30",6,5,4,4,7,8,5,29,8,3
"2004-11-06",6,3,2,2,4,7,4,27,8,3
"2004-11-13",8,3,3,4,7,9,6,36,8,4
"2004-11-20",10,3,4,11,9,8,8,44,8,6
"2004-11-27",9,3,3,7,7,11,8,24,7,5
"2004-12-04",6,6,9,3,4,8,8,25,7,6
"2004-12-11",4,2,3,1,3,9,3,26,7,5
"2004-12-18",2,3,2,2,3,3,4,27,7,5
"2004-12-25",2,3,3,1,2,6,2,28,8,5
"2005-01-01",3,3,3,2,2,8,5,28,8,5
"2005-01-08",4,4,5,1,3,9,2,28,8,3
"2005-01-15",4,7,5,4,2,10,2,0,15,3
"2005-01-22",4,5,4,2,3,9,3,0,10,6
"2005-01-29",3,3,3,2,4,10,6,0,7,3
"2005-02-05",4,4,7,3,2,11,2,0,7,3
"2005-02-12",5,6,12,4,3,12,3,0,10,8
"2005-02-19",5,6,5,2,5,11,5,0,13,3
"2005-02-26",8,4,7,3,3,9,6,24,20,3
"2005-03-05",7,5,5,4,5,6,3,34,7,4
"2005-03-12",6,1,3,2,5,10,4,21,7,7
"2005-03-19",7,4,4,4,5,11,4,21,7,5
"2005-03-26",7,4,4,3,4,12,5,23,7,3
"2005-04-02",8,3,5,5,4,13,4,37,16,3
"2005-04-09",8,6,8,7,6,12,9,29,8,7
"2005-04-16",7,6,6,4,4,12,5,19,14,4
"2005-04-23",6,4,5,2,5,10,4,21,6,5
"2005-04-30",8,2,5,4,5,12,5,30,16,4
"2005-05-07",5,4,4,3,4,11,2,38,9,2
"2005-05-14",7,6,4,3,6,11,5,37,5,2
"2005-05-21",7,6,4,4,3,8,4,18,15,6
"2005-05-28",6,3,3,5,4,9,3,20,8,6
"2005-06-04",6,6,5,4,3,10,4,26,5,6
"2005-06-11",7,2,3,4,4,10,4,17,5,3
"2005-06-18",6,9,9,4,3,8,1,34,5,2
"2005-06-25",5,5,5,3,5,8,6,18,7,2
"2005-07-02",5,5,7,2,4,9,3,18,5,2
"2005-07-09",4,2,3,1,3,6,2,19,5,2
"2005-07-16",3,9,3,2,3,8,2,19,8,3
"2005-07-23",3,3,2,2,2,5,2,19,5,4
"2005-07-30",4,4,4,2,2,7,2,19,5,5
"2005-08-06",4,4,3,2,2,7,3,18,5,6
"2005-08-13",4,1,2,3,2,6,2,16,5,7
"2005-08-20",5,3,4,3,4,10,3,15,5,4
"2005-08-27",4,4,4,4,3,7,4,15,13,2
"2005-09-03",4,5,2,1,2,9,2,15,4,2
"2005-09-10",5,3,2,4,3,7,3,15,4,3
"2005-09-17",4,2,2,2,3,7,4,15,4,3
"2005-09-24",4,3,2,3,3,8,3,15,4,4
"2005-10-01",4,3,3,3,3,7,4,15,6,3
"2005-10-08",4,4,4,3,2,6,2,15,4,4
"2005-10-15",4,4,3,2,3,8,3,14,7,3
"2005-10-22",5,3,4,4,4,8,3,14,4,2
"2005-10-29",6,2,2,4,6,7,5,14,4,5
"2005-11-05",7,5,3,6,3,10,4,15,4,5
"2005-11-12",8,3,7,4,4,12,5,16,5,7
"2005-11-19",10,4,5,8,12,12,11,15,9,8
"2005-11-26",10,4,4,6,5,8,5,13,4,5
"2005-12-03",5,3,4,5,6,9,6,13,4,2
"2005-12-10",4,3,2,3,3,9,3,14,4,2
"2005-12-17",3,3,3,2,3,5,3,15,4,2
"2005-12-24",2,3,2,1,3,5,1,17,5,2
"2005-12-31",2,3,3,1,2,6,1,19,5,2
"2006-01-07",4,6,8,3,3,6,3,20,9,2
"2006-01-14",5,6,5,1,4,7,3,22,4,2
"2006-01-21",7,11,6,2,3,10,4,29,10,3
"2006-01-28",9,12,7,3,5,8,5,14,8,3
"2006-02-04",8,11,8,3,7,9,7,13,13,3
"2006-02-11",9,9,6,5,5,7,6,13,11,3
"2006-02-18",9,8,7,6,9,10,8,25,4,6
"2006-02-25",10,12,9,7,7,9,7,19,10,6
"2006-03-04",9,13,7,3,7,11,5,23,7,5
"2006-03-11",13,15,12,7,7,9,7,23,12,7
"2006-03-18",13,12,13,9,8,10,7,25,9,7
"2006-03-25",14,16,15,7,8,10,6,16,7,7
"2006-04-01",13,12,9,8,8,11,8,21,3,9
"2006-04-08",13,18,13,9,8,12,8,16,7,9
"2006-04-15",14,19,15,7,8,10,7,20,11,5
"2006-04-22",13,12,10,5,8,8,9,27,19,8
"2006-04-29",12,15,15,6,6,7,7,10,18,7
"2006-05-06",12,13,10,6,6,8,5,28,15,4
"2006-05-13",10,7,9,6,5,7,5,10,5,6
"2006-05-20",10,10,8,5,5,6,5,23,9,5
"2006-05-27",7,8,4,5,3,7,2,16,5,4
"2006-06-03",8,8,6,5,3,6,5,29,5,3
"2006-06-10",7,5,6,4,4,7,5,16,4,3
"2006-06-17",6,4,3,4,2,6,3,17,3,3
"2006-06-24",6,4,4,3,3,12,3,10,9,2
"2006-07-01",4,4,3,3,2,5,3,18,6,3
"2006-07-08",3,3,4,1,1,6,1,10,4,1
"2006-07-15",3,4,3,2,2,5,3,21,6,2
"2006-07-22",3,5,3,1,1,4,2,10,4,2
"2006-07-29",3,3,3,1,2,6,2,10,3,1
"2006-08-05",3,3,3,2,1,5,1,9,7,2
"2006-08-12",4,2,2,3,5,7,5,9,6,2
"2006-08-19",4,3,3,2,4,8,3,9,3,3
"2006-08-26",4,4,4,2,3,7,2,13,3,2
"2006-09-02",5,2,1,3,4,7,4,10,3,2
"2006-09-09",3,2,2,1,2,6,2,10,3,4
"2006-09-16",4,3,2,3,2,7,1,8,5,2
"2006-09-23",4,1,2,3,2,5,2,8,3,2
"2006-09-30",3,1,2,2,3,6,1,8,2,4
"2006-10-07",3,2,4,2,2,6,3,8,7,2
"2006-10-14",2,1,2,3,2,7,1,9,4,1
"2006-10-21",4,2,2,3,4,7,3,10,2,3
"2006-10-28",5,2,2,3,2,6,2,12,2,3
"2006-11-04",5,2,4,4,4,7,4,8,2,2
